deployment_level, mach, cd

0.0, 0.8, 0.0
0.0, 0.6, 0.0
0.0, 0.4, 0.0
0.0, 0.2, 0.0

0.25, 0.6, 0.080322
0.25, 0.4, 0.086102
0.25, 0.2, 0.069737

0.5, 0.8, 0.19475
0.5, 0.6, 0.189714
0.5, 0.4, 0.157476
0.5, 0.2, 0.147313

0.75, 0.6, 0.325116
0.75, 0.4, 0.308038
0.75, 0.2, 0.210137

1.0, 0.8, 0.570266
1.0, 0.6, 0.543358
1.0, 0.4, 0.525842
1.0, 0.2, 0.498906

